offer_accepted,mailer_type,average_balance,household_size,credit_cards_held,bank_accounts_open,own_your_home,homes_owned,income_level,credit_rating,profiles
No,Letter,1025.75,2,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1403.00,4,2,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1101.75,3,2,2,Yes,2,High,Low,"Non classifiable"
No,Postcard,879.00,6,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1304.50,4,1,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,248.75,2,2,1,No,1,Medium,High,"Non classifiable"
No,Postcard,668.00,3,1,1,Yes,1,High,Low,"Non classifiable"
Yes,Postcard,1163.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,241.75,4,1,1,No,1,High,Medium,"Non classifiable"
No,Postcard,1160.50,2,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,1153.25,4,2,1,No,1,High,Low,"Non classifiable"
Yes,Postcard,786.50,4,2,1,No,2,Low,High,"Non classifiable"
No,Postcard,979.00,4,1,2,No,2,High,Low,"Non classifiable"
No,Postcard,1074.50,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1273.50,3,2,1,No,2,High,Low,"Non classifiable"
No,Postcard,364.00,4,2,1,Yes,1,High,Medium,"Non classifiable"
No,Postcard,1452.75,5,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,337.75,4,2,1,Yes,1,High,Medium,"Non classifiable"
Yes,Postcard,803.25,5,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1096.00,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1085.00,4,1,1,Yes,1,High,Low,"Non classifiable"
Yes,Postcard,744.25,3,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,838.75,4,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1281.75,5,3,1,No,2,Low,High,"Non classifiable"
No,Postcard,161.75,3,2,1,Yes,1,Medium,High,"Non classifiable"
Yes,Letter,1175.50,3,2,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1793.25,4,3,2,No,1,Medium,Low,"Non classifiable"
No,Postcard,1046.75,3,3,1,No,1,High,Low,"Non classifiable"
No,Postcard,1066.00,4,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,308.00,4,1,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,956.00,3,2,1,Yes,2,High,Low,"Non classifiable"
No,Letter,873.75,2,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,969.50,4,3,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,231.75,3,3,1,No,1,Medium,High,"Non classifiable"
No,Letter,183.50,4,1,1,No,1,High,Medium,"Non classifiable"
No,Postcard,1146.75,4,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,1360.25,6,3,1,No,2,Low,High,"Non classifiable"
No,Postcard,986.25,2,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1071.75,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,354.75,4,4,3,Yes,2,Medium,High,"Non classifiable"
No,Postcard,160.75,3,2,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1069.50,3,1,2,Yes,1,High,Low,"Non classifiable"
No,Letter,988.00,4,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1309.25,3,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,994.75,4,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1131.75,4,3,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,1180.50,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1205.00,6,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,786.50,4,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,876.75,1,2,2,Yes,3,High,Low,"Non classifiable"
No,Letter,1080.50,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,197.00,5,3,2,Yes,1,High,Medium,"Non classifiable"
Yes,Postcard,1023.00,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1169.75,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,660.00,2,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,723.75,3,1,2,Yes,1,High,Low,"Non classifiable"
No,Letter,374.75,4,2,2,No,1,Medium,High,"Non classifiable"
No,Postcard,658.50,6,2,1,No,1,High,Low,"Non classifiable"
No,Letter,998.00,5,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1290.50,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1160.50,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1187.75,4,1,2,Yes,1,High,Low,"Non classifiable"
No,Letter,844.25,4,1,1,No,1,Low,High,"Non classifiable"
No,Letter,1196.75,5,2,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,1048.25,3,1,1,No,1,Low,High,"Non classifiable"
No,Letter,992.75,2,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,268.00,3,2,2,Yes,1,High,Medium,"Non classifiable"
No,Letter,1100.00,3,3,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,1356.00,3,4,1,No,1,Low,High,"Non classifiable"
No,Postcard,1222.50,1,3,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1061.50,4,3,1,No,1,Low,High,"Non classifiable"
No,Postcard,1214.75,4,3,1,No,2,Low,High,"Non classifiable"
No,Postcard,1248.50,5,2,2,No,2,High,Low,"Non classifiable"
No,Postcard,1064.25,3,1,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,888.75,4,3,1,No,2,Low,High,"Non classifiable"
No,Letter,949.75,2,3,1,Yes,2,Low,High,"Non classifiable"
No,Letter,1191.75,4,1,2,Yes,2,Low,High,"Non classifiable"
Yes,Postcard,787.75,4,2,1,No,2,Low,High,"Non classifiable"
No,Postcard,384.25,3,1,1,Yes,1,High,Medium,"Non classifiable"
No,Postcard,1034.25,4,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,183.00,5,3,1,No,1,Medium,High,"Non classifiable"
No,Letter,964.75,2,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,787.75,5,1,1,No,2,Low,High,"Non classifiable"
No,Postcard,253.75,3,2,2,Yes,1,High,Medium,"Non classifiable"
No,Letter,797.00,4,2,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,229.50,2,1,1,Yes,1,High,Medium,"Non classifiable"
No,Letter,206.50,2,1,1,Yes,2,High,Medium,"Non classifiable"
No,Postcard,1066.25,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1342.25,3,3,1,No,1,Low,High,"Non classifiable"
No,Postcard,1058.75,4,3,1,Yes,1,Low,High,"Non classifiable"
Yes,Postcard,1122.25,3,2,2,No,1,Low,High,"Non classifiable"
No,Postcard,1135.25,2,2,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,778.25,4,2,1,Yes,2,Low,High,"Non classifiable"
Yes,Postcard,899.75,3,1,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1004.50,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1391.50,4,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,291.25,4,3,1,No,1,Medium,High,"Non classifiable"
No,Postcard,1710.25,5,3,1,Yes,1,Low,Medium,"Non classifiable"
No,Letter,1047.50,4,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,130.50,4,1,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,1276.00,5,1,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,287.75,5,2,1,No,1,High,Medium,"Non classifiable"
No,Letter,1259.75,3,1,1,No,1,High,Low,"Non classifiable"
No,Letter,1792.50,5,3,1,No,2,Medium,Low,"Non classifiable"
No,Postcard,158.25,4,3,1,No,2,Medium,High,"Non classifiable"
No,Letter,1299.00,5,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1123.50,3,2,2,Yes,2,Low,High,"Non classifiable"
No,Postcard,1105.75,5,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,288.25,5,2,1,No,1,Medium,High,"Non classifiable"
No,Postcard,214.00,4,1,2,Yes,1,Medium,High,"Non classifiable"
Yes,Postcard,940.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1477.50,4,2,3,Yes,1,High,Low,"Non classifiable"
No,Letter,1072.00,2,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1150.75,3,2,1,Yes,2,Low,High,"Non classifiable"
No,Letter,212.00,3,3,2,No,1,Medium,High,"Non classifiable"
No,Postcard,984.00,3,1,2,Yes,2,Low,High,"Non classifiable"
No,Postcard,1296.25,2,3,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,153.50,4,3,1,Yes,1,High,Medium,"Non classifiable"
No,Letter,336.75,3,3,1,No,1,High,Medium,"Non classifiable"
No,Letter,232.50,6,1,2,Yes,1,Medium,High,"Non classifiable"
No,Letter,1105.25,4,2,1,No,1,High,Low,"Non classifiable"
No,Letter,777.50,5,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,940.00,3,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,616.00,3,1,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,768.25,6,2,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,1499.50,4,2,1,Yes,2,High,Low,"Non classifiable"
No,Letter,1281.50,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,645.50,2,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,1065.00,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1148.75,1,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,896.50,3,1,2,Yes,2,Low,High,"Non classifiable"
No,Letter,1759.25,3,2,1,Yes,1,Medium,Low,"Non classifiable"
No,Postcard,312.75,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,918.25,2,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1058.75,5,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,664.50,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,843.00,4,1,1,No,2,Low,High,"Non classifiable"
No,Letter,1123.75,4,3,1,Yes,2,High,Low,"Non classifiable"
Yes,Postcard,1007.50,2,1,2,No,1,High,Low,"Non classifiable"
No,Postcard,1064.75,3,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,761.00,4,1,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,1159.00,3,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,325.50,3,2,1,Yes,1,High,Medium,"Non classifiable"
No,Postcard,686.25,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,209.75,4,2,1,Yes,1,Medium,High,"Non classifiable"
Yes,Postcard,1109.00,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,996.75,4,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1395.50,4,1,2,No,1,Low,High,"Non classifiable"
No,Letter,865.00,3,2,1,Yes,2,High,Low,"Non classifiable"
No,Letter,1155.25,4,1,1,No,1,High,Low,"Non classifiable"
No,Letter,278.50,5,2,2,Yes,2,High,Medium,"Non classifiable"
No,Postcard,793.00,4,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,893.25,3,2,1,Yes,2,High,Low,"Non classifiable"
No,Letter,1637.50,6,1,1,Yes,1,Medium,Low,"Non classifiable"
No,Letter,1107.25,3,2,2,Yes,1,Low,High,"Non classifiable"
No,Letter,1188.00,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,338.50,3,1,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,257.50,3,3,2,Yes,2,Medium,High,"Non classifiable"
No,Letter,1192.25,6,1,2,No,1,Low,High,"Non classifiable"
No,Postcard,1164.50,4,3,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1152.50,5,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1018.50,3,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,770.50,5,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,1090.75,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1074.25,4,2,2,Yes,2,Low,High,"Non classifiable"
No,Postcard,871.50,4,1,2,No,1,Low,High,"Non classifiable"
No,Postcard,1059.25,3,3,1,No,1,Low,High,"Non classifiable"
No,Postcard,1011.75,2,3,1,No,1,High,Low,"Non classifiable"
Yes,Letter,740.75,4,3,1,No,2,High,Low,"Non classifiable"
Yes,Postcard,151.50,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1333.25,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,907.25,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1613.50,5,2,1,Yes,1,Medium,Low,"Non classifiable"
No,Letter,1096.75,2,2,1,No,2,Low,High,"Non classifiable"
No,Letter,1718.25,3,1,2,Yes,1,Medium,Low,"Non classifiable"
No,Postcard,1134.00,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,267.50,4,3,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1087.75,3,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,288.50,4,1,1,No,1,Medium,High,"Non classifiable"
No,Letter,1140.50,3,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,719.00,3,2,1,Yes,2,Low,High,"Non classifiable"
No,Letter,1123.50,4,3,1,Yes,2,High,Low,"Non classifiable"
No,Letter,833.75,4,1,1,No,2,High,Low,"Non classifiable"
No,Letter,1823.25,3,1,1,No,1,Low,Medium,"Non classifiable"
No,Postcard,915.50,5,1,1,No,1,Low,High,"Non classifiable"
No,Letter,326.00,3,2,1,No,1,Medium,High,"Non classifiable"
No,Postcard,971.75,2,2,1,No,2,High,Low,"Non classifiable"
No,Postcard,1003.25,2,2,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,969.00,4,4,2,No,1,Low,High,"Non classifiable"
No,Postcard,1269.25,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1066.00,4,3,1,No,1,Low,High,"Non classifiable"
No,Letter,762.50,4,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1193.75,2,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,1022.75,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1089.25,2,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,317.75,3,2,2,No,1,High,Medium,"Non classifiable"
No,Letter,1091.00,4,2,2,No,1,Low,High,"Non classifiable"
No,Letter,190.00,4,2,1,Yes,1,High,Medium,"Non classifiable"
No,Letter,1042.50,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,845.50,2,3,2,No,1,Low,High,"Non classifiable"
No,Postcard,1396.00,3,2,1,No,2,High,Low,"Non classifiable"
No,Postcard,747.25,2,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1115.00,4,1,1,No,1,Low,High,"Non classifiable"
No,Letter,1010.00,5,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,991.50,5,2,1,Yes,2,Low,High,"Non classifiable"
No,Letter,695.00,3,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,127.00,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1771.00,4,2,1,Yes,2,Medium,Low,"Non classifiable"
No,Letter,1112.75,4,3,1,No,1,High,Low,"Non classifiable"
No,Letter,714.25,2,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1074.25,6,2,2,Yes,1,Low,High,"Non classifiable"
No,Letter,971.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1062.00,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,196.75,2,1,1,No,2,Medium,High,"Non classifiable"
No,Postcard,949.00,6,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1241.25,3,4,2,No,1,Low,High,"Non classifiable"
No,Letter,1045.75,3,1,1,No,2,Low,High,"Non classifiable"
No,Letter,1287.25,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,172.25,5,3,1,No,1,Medium,High,"Non classifiable"
No,Postcard,1342.75,5,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1378.75,4,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,211.75,5,1,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,115.00,4,1,1,Yes,1,High,Medium,"Non classifiable"
No,Postcard,1282.75,4,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,103.50,4,3,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,185.50,5,1,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,821.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1330.75,5,3,2,Yes,1,Low,High,"Non classifiable"
Yes,Postcard,689.00,3,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1128.25,2,3,1,No,1,Low,High,"Non classifiable"
No,Postcard,1265.50,2,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,746.25,2,1,2,Yes,1,High,Low,"Non classifiable"
